specification,position_scale,outside_utility,scenario,simulation_cells,AA_estimate,AA_ci_low,AA_ci_high,ctr_estimate,ctr_ci_low,ctr_ci_high
position_0p4,0.4,0.5,ai_appreciation,50,-0.010542699481047323,-0.018321981635094183,-0.004020198762931562,0.9752888888888889,0.9715333333333334,0.9798677777777779
position_0p4,0.4,0.5,moderate_asymmetric,50,0.012120147343134872,0.0024986325195509268,0.021861305347755277,0.9729555555555556,0.9688888888888889,0.9774222222222222
position_0p4,0.4,0.5,strong_premium_penalty,50,0.026585817110080446,0.015621003238819814,0.037422740014889454,0.9737777777777779,0.9701333333333332,0.9781555555555554
outside_0p0,0.8,0.0,ai_appreciation,50,-0.00419018259172074,-0.012489244510905283,0.00293628143233605,0.9859111111111112,0.9822216666666668,0.9897333333333332
outside_0p0,0.8,0.0,moderate_asymmetric,50,0.016571326690467573,0.009307825706779679,0.023413977854750374,0.9844666666666667,0.9807994444444444,0.9887561111111112
outside_0p0,0.8,0.0,strong_premium_penalty,50,0.03403804113145878,0.02429549109484111,0.043738383702373776,0.9848222222222222,0.9813322222222222,0.9888005555555555
baseline,0.8,0.5,ai_appreciation,50,-0.008657757110628708,-0.015216762085596879,-0.0035011607509876043,0.9790000000000001,0.9758666666666668,0.9839566666666667
baseline,0.8,0.5,moderate_asymmetric,50,0.015778379099626826,0.009861230180896362,0.020978088597356982,0.9766000000000001,0.9731111111111111,0.981445
baseline,0.8,0.5,strong_premium_penalty,50,0.03360233756803828,0.022692446731912706,0.04398166891846129,0.9771777777777778,0.9737777777777779,0.981933888888889
outside_1p0,0.8,1.0,ai_appreciation,50,-0.009542484618160499,-0.015418237817288375,-0.0038615853348395106,0.9660666666666667,0.9615555555555555,0.970845
outside_1p0,0.8,1.0,moderate_asymmetric,50,0.014613741084402112,0.006912178956525749,0.02303859412559071,0.9625777777777778,0.9582,0.9673777777777778
outside_1p0,0.8,1.0,strong_premium_penalty,50,0.03328731659438842,0.019592211076541632,0.04471342100473116,0.9633777777777778,0.9591105555555555,0.9680900000000001
position_1p2,1.2,0.5,ai_appreciation,50,-0.007365777007330907,-0.01306417155700043,-0.0017060689764558387,0.9815333333333334,0.9781105555555555,0.9868888888888888
position_1p2,1.2,0.5,moderate_asymmetric,50,0.017662566861258222,0.0098243192701155,0.025000074306514054,0.9800222222222224,0.9764000000000002,0.9855555555555555
position_1p2,1.2,0.5,strong_premium_penalty,50,0.03633102011561583,0.02796654736260131,0.04750430896285258,0.9801555555555557,0.9766444444444445,0.9858672222222223
