oracle_c,scenario,estimate,ci_low,ci_high,n
0.5,ai_appreciation,-0.004995830477742929,-0.013020026589616327,0.0010367598654691026,50
0.5,moderate_asymmetric,0.009806337790344302,0.002368414299300846,0.015599125040245462,50
0.5,strong_premium_penalty,0.019079371548654703,0.0070401583145157055,0.02984128810139377,50
0.5,zero,0.0,0.0,0.0,50
1.0,ai_appreciation,-0.0004089007944751717,-0.008132450541453168,0.006260623073613122,50
1.0,moderate_asymmetric,0.0005938729580902491,-0.008159245571746835,0.0074640247944893065,50
1.0,strong_premium_penalty,0.002075591966146334,-0.009428111631421748,0.013785470897958904,50
1.0,zero,0.0,0.0,0.0,50
1.5,ai_appreciation,0.004859960900818937,-0.003141930367630495,0.011960312829835984,50
1.5,moderate_asymmetric,-0.006530764789987236,-0.015913380214902743,0.0008786777518452267,50
1.5,strong_premium_penalty,-0.017985588874621265,-0.027242565732075213,-0.009649574855410048,50
1.5,zero,0.0,0.0,0.0,50
