online_steps,scenario,estimate,ci_low,ci_high,n
1,ai_appreciation,-0.0022435369349865036,-0.005057424842528835,0.001491846151530635,50
1,moderate_asymmetric,0.0046201889628362,0.0016764014591103857,0.007655571082927129,50
1,strong_premium_penalty,0.010175855361497298,0.00509238317787818,0.014643708380324782,50
1,zero,0.0,0.0,0.0,50
3,ai_appreciation,-0.008657757110628708,-0.014319408820338242,-0.003879139203689851,50
3,moderate_asymmetric,0.015778379099626826,0.009777633616907741,0.021098625994340873,50
3,strong_premium_penalty,0.03360233756803828,0.022935137143185586,0.04455992769808435,50
3,zero,0.0,0.0,0.0,50
10,ai_appreciation,-0.033959414043525114,-0.052871316933796576,-0.01738657390303714,50
10,moderate_asymmetric,0.047874196032722,0.026105148299048805,0.07397966172653828,50
10,strong_premium_penalty,0.08433173416944026,0.06042047189689689,0.10922958822596954,50
10,zero,0.0,0.0,0.0,50
